libusea,libuseb,sex,age,par,inc,live,books
N,N,female,,no,150+,A large city,2
Y,Y,female,90,no,under 30,A small city or town,2
N,N,female,61,no,30-under 75,A suburb near a large city,2
N,N,male,56,no,30-under 75,A rural area,0
Y,Y,male,71,no,30-under 75,A rural area,50
Y,N,male,72,no,,A rural area,52
Y,N,female,69,no,,A suburb near a large city,4
N,N,female,46,yes,30-under 75,A rural area,0
Y,N,male,59,no,under 30,A rural area,5
N,N,female,69,no,under 30,A suburb near a large city,24
N,N,female,78,no,30-under 75,A rural area,2
Y,Y,female,68,no,30-under 75,A suburb near a large city,5
N,N,female,80,no,30-under 75,A small city or town,0
Y,Y,male,46,no,,A large city,0
Y,Y,male,45,no,75-under 150,A suburb near a large city,40
N,N,male,53,no,30-under 75,A suburb near a large city,0
N,N,female,72,no,75-under 150,A rural area,4
N,N,female,60,no,,A suburb near a large city,12
Y,Y,male,48,yes,75-under 150,A suburb near a large city,0
N,Y,male,21,no,75-under 150,A suburb near a large city,25
Y,Y,female,57,yes,150+,A small city or town,15
Y,Y,female,44,yes,75-under 150,A rural area,
Y,N,female,75,no,,A small city or town,
N,N,female,70,no,,A rural area,6
Y,Y,male,54,no,,A suburb near a large city,15
N,Y,female,66,no,75-under 150,A rural area,40
Y,N,female,16,no,30-under 75,A suburb near a large city,2
N,N,female,,no,under 30,A rural area,2
Y,N,female,74,no,30-under 75,A large city,5
N,N,female,63,no,30-under 75,A rural area,4
Y,N,male,78,no,150+,A small city or town,10
N,N,female,79,no,under 30,A small city or town,0
Y,N,female,78,no,under 30,A rural area,52
Y,Y,male,24,yes,under 30,A small city or town,0
Y,N,male,76,no,under 30,A rural area,0
Y,N,female,77,no,30-under 75,A small city or town,0
Y,Y,male,38,yes,150+,A small city or town,0
Y,Y,female,51,no,75-under 150,A small city or town,50
Y,N,female,45,yes,75-under 150,A small city or town,0
Y,Y,male,72,no,,A rural area,0
N,N,male,70,yes,30-under 75,A small city or town,0
N,N,female,61,no,under 30,A suburb near a large city,3
Y,Y,female,71,no,under 30,A suburb near a large city,0
Y,Y,male,,no,under 30,,3
Y,N,female,76,no,under 30,A small city or town,2
Y,N,male,67,no,30-under 75,A rural area,2
N,N,female,74,no,,A rural area,0
N,Y,female,50,no,,A small city or town,5
Y,N,female,36,yes,under 30,A large city,0
Y,N,female,90,no,under 30,A suburb near a large city,12
N,N,female,71,no,30-under 75,A small city or town,3
Y,Y,female,74,no,30-under 75,A small city or town,45
N,N,male,63,no,30-under 75,A small city or town,0
Y,Y,male,73,no,75-under 150,A rural area,50
Y,N,female,68,no,,A small city or town,24
N,N,male,64,no,30-under 75,A large city,2
Y,Y,female,50,no,75-under 150,A rural area,
Y,N,female,83,no,30-under 75,A suburb near a large city,
N,N,female,79,no,,A small city or town,3
Y,Y,female,83,no,150+,A suburb near a large city,10
N,N,female,84,no,,A rural area,30
Y,N,male,55,yes,under 30,A small city or town,3
N,N,male,62,no,75-under 150,A small city or town,2
N,N,male,68,no,,A small city or town,40
N,N,female,64,no,75-under 150,A small city or town,40
Y,Y,female,40,yes,under 30,A small city or town,50
N,N,male,61,no,30-under 75,A small city or town,3
Y,Y,male,,no,75-under 150,A suburb near a large city,12
N,N,male,73,no,,A small city or town,0
Y,N,male,46,yes,under 30,A rural area,15
N,N,male,57,no,under 30,A small city or town,0
N,N,female,80,no,,A small city or town,0
Y,Y,male,61,no,75-under 150,A rural area,
Y,Y,male,38,yes,30-under 75,A small city or town,8
N,N,female,64,no,75-under 150,A rural area,5
Y,N,male,62,no,30-under 75,A rural area,4
